YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,1,5,17,97.87,6.4,192.92,10.33
2017,1,5,18,97.9,7.1,189.43,10.83
2017,1,5,19,97.92,7.54,188.1,11.23
2017,1,5,20,97.89,7.84,187.68,11.47
2017,1,5,21,97.86,8.3,188.22,11.87
2017,1,5,22,97.84,8.92,189.17,12.51
2017,1,5,23,97.81,9.39,187.93,13.06
2017,1,6,0,97.78,9.72,185.95,13.44
2017,1,6,1,97.76,10.01,184.34,13.88
2017,1,6,2,97.74,10.18,181.63,14.12
2017,1,6,3,97.67,10.43,178.28,14.52
2017,1,6,4,97.61,10.85,175.54,15.05
2017,1,6,5,97.57,11.29,174.4,15.69
2017,1,6,6,97.56,11.54,174.17,15.97
2017,1,6,7,97.57,11.77,173.9,16.22
2017,1,6,8,97.58,12.28,173.76,16.58
2017,1,6,9,97.57,13.06,173.89,17.26
2017,1,6,10,97.53,14.46,174.33,18.84
2017,1,6,11,97.45,15.54,177.23,20.03
2017,1,6,12,97.35,15.31,180.61,19.62
2017,1,6,13,97.27,14.57,183.23,18.84
2017,1,6,14,97.28,13.2,185.61,17.21
2017,1,6,15,97.29,10.94,186.11,14.63
2017,1,6,16,97.29,9.08,186.72,12.54
2017,1,6,17,97.31,7.07,189.55,10.2
2017,1,6,18,97.32,4.94,193.53,7.3
2017,1,6,19,97.29,2.87,190.33,4.89
2017,1,6,20,97.24,2.08,171.14,3.82
2017,1,6,21,97.18,2.09,163.05,3.62
2017,1,6,22,97.08,1.9,142.7,3.1
2017,1,6,23,96.95,2.3,131.97,3.78
2017,1,7,0,96.81,2.28,143.64,3.84
2017,1,7,1,96.79,1.02,172.06,2.39
2017,1,7,2,96.8,0.6,151.09,1.5
2017,1,7,3,96.78,0.35,187.59,0.89
2017,1,7,4,96.8,0.29,279.46,0.68
2017,1,7,5,96.79,0.66,308.23,0.68
2017,1,7,6,96.82,1.63,327.53,1.78
2017,1,7,7,96.93,3.29,298.51,3.81
2017,1,7,8,97.15,5.41,287.65,6.22
2017,1,7,9,97.39,5.97,285.95,6.89
2017,1,7,10,97.59,5.75,298.13,6.77
2017,1,7,11,97.75,5.37,312.94,6.36
2017,1,7,12,97.85,4.94,326.54,5.75
2017,1,7,13,97.94,4.69,342.26,5.38
2017,1,7,14,98.01,4.56,359.31,5.19
2017,1,7,15,98.07,4.37,13.96,5.25
2017,1,7,16,98.13,3.63,22.81,5.11
2017,1,7,17,98.18,3.38,23.9,5.23
